43YIoHKSrEw2GJsWmhZIpu|10
6hrJk6bOTnQ6dbD7WKcVoq|8
3L3UjpXtom6T0Plt1j6l1T|10
0ycOalM5jPnpeadIhohkbT|7
7a2Z3UzPx9HHbRgsJbytdz|7
17XDDX3RYaIu56inOJzAWO|9
0rPtXOMN42nsLDiShvGamv|8
7xXCwjDZiNd5dMr00ANHM0|7
3flejyQLaN7EolO3Vmg31D|7
4UfROvC2nwNTssfJmlcYw2|8
0EiI8ylL0FmWWpgHVTsZjZ|9
7aLh1vRyyb9ejdERr7LlZL|9
7oqmbxce6KT0PZ8manQXJB|8
2Cwxsws0uZcu61gliYLOEm|8
6PawgZNtkuBH5uVY9qo2h9|9
5acYvdisnqKHilyZpplOMf|9
0lmjCPEcec2k6L7ysNIcd3|7
65MKJshn1AdDBvt99IRTSu|7
3pwK9gnxxo19I0RX7Z7pnS|8
66A7X1EqFQEEvuE5Nezqrl|6
1GMHBkCYVzWqrrczVDBJKm|7
